raw_score,decile_score,score_text
14.0,1,Low
17.0,2,Low
23.0,5,Medium
31.0,9,High
15.0,1,Low
17.0,2,Low
22.0,5,Medium
13.0,1,Low
13.0,1,Low
17.0,2,Low
13.0,1,Low
17.0,2,Low
21.0,4,Low
27.0,7,Medium
34.0,10,High
27.0,7,Medium
21.0,4,Low
26.0,7,Medium
22.0,5,Medium
12.0,1,Low
12.0,1,Low
14.0,1,Low
33.0,9,High
18.0,3,Low
18.0,3,Low
13.0,1,Low
21.0,4,Low
16.0,2,Low
11.0,1,Low
31.0,9,High
12.0,1,Low
18.0,3,Low
23.0,5,Medium
34.0,10,High
28.0,8,High
15.0,1,Low
15.0,1,Low
16.0,2,Low
21.0,4,Low
27.0,7,Medium
13.0,1,Low
28.0,8,High
11.0,1,Low
14.0,1,Low
17.0,2,Low
16.0,2,Low
15.0,1,Low
13.0,1,Low
12.0,1,Low
26.0,7,Medium
15.0,1,Low
31.0,9,High
30.0,9,High
12.0,1,Low
11.0,1,Low
18.0,3,Low
24.0,6,Medium
12.0,1,Low
14.0,1,Low
21.0,4,Low
14.0,1,Low
20.0,3,Low
20.0,4,Low
19.0,3,Low
19.0,3,Low
12.0,1,Low
21.0,4,Low
14.0,1,Low
28.0,8,High
29.0,8,High
33.0,9,High
13.0,1,Low
19.0,3,Low
17.0,2,Low
28.0,7,Medium
13.0,1,Low
15.0,1,Low
17.0,2,Low
14.0,1,Low
13.0,1,Low
11.0,1,Low
11.0,1,Low
15.0,1,Low
13.0,1,Low
18.0,3,Low
18.0,3,Low
21.0,4,Low
16.0,2,Low
14.0,1,Low
13.0,1,Low
18.0,3,Low
25.0,6,Medium
18.0,3,Low
17.0,2,Low
26.0,7,Medium
25.0,6,Medium
13.0,1,Low
11.0,1,Low
29.0,8,High
19.0,3,Low
21.0,4,Low
16.0,2,Low
24.0,6,Medium
16.0,2,Low
17.0,2,Low
18.0,3,Low
19.0,3,Low
15.0,1,Low
20.0,4,Low
26.0,7,Medium
11.0,1,Low
16.0,2,Low
23.0,6,Medium
17.0,2,Low
19.0,3,Low
14.0,1,Low
15.0,1,Low
15.0,1,Low
15.0,1,Low
24.0,6,Medium
13.0,1,Low
16.0,2,Low
17.0,2,Low
14.0,1,Low
18.0,3,Low
29.0,8,High
13.0,1,Low
17.0,2,Low
25.0,5,Medium
22.0,5,Medium
15.0,1,Low
20.0,4,Low
13.0,1,Low
16.0,2,Low
15.0,1,Low
19.0,3,Low
29.0,9,High
11.0,1,Low
25.0,6,Medium
12.0,1,Low
18.0,3,Low
11.0,1,Low
11.0,1,Low
13.0,1,Low
20.0,3,Low
27.0,7,Medium
22.0,5,Medium
16.0,2,Low
13.0,1,Low
22.0,5,Medium
16.0,2,Low
12.0,1,Low
17.0,2,Low
19.0,3,Low
21.0,4,Low
19.0,3,Low
14.0,1,Low
14.0,1,Low
25.0,7,Medium
11.0,1,Low
23.0,5,Medium
16.0,2,Low
25.0,6,Medium
11.0,1,Low
22.0,5,Medium
15.0,1,Low
25.0,6,Medium
36.0,10,High
13.0,1,Low
24.0,6,Medium
19.0,3,Low
24.0,6,Medium
13.0,1,Low
20.0,3,Low
31.0,9,High
15.0,1,Low
21.0,4,Low
18.0,3,Low
16.0,2,Low
21.0,4,Low
19.0,3,Low
22.0,5,Medium
14.0,1,Low
13.0,1,Low
17.0,2,Low
19.0,3,Low
11.0,1,Low
28.0,8,High
31.0,8,High
14.0,1,Low
16.0,2,Low
13.0,1,Low
18.0,3,Low
18.0,3,Low
30.0,8,High
22.0,5,Medium
17.0,2,Low
16.0,1,Low
15.0,1,Low
17.0,2,Low
15.0,1,Low
22.0,5,Medium
16.0,2,Low
20.0,4,Low
20.0,3,Low
13.0,1,Low
17.0,2,Low
15.0,1,Low
13.0,1,Low
11.0,1,Low
20.0,3,Low
49.0,10,High
22.0,5,Medium
25.0,7,Medium
14.0,1,Low
19.0,3,Low
14.0,1,Low
17.0,2,Low
16.0,2,Low
11.0,1,Low
13.0,1,Low
13.0,1,Low
20.0,3,Low
16.0,2,Low
11.0,1,Low
17.0,2,Low
14.0,1,Low
14.0,1,Low
11.0,1,Low
23.0,5,Medium
21.0,4,Low
16.0,2,Low
17.0,2,Low
20.0,4,Low
22.0,5,Medium
19.0,3,Low
22.0,5,Medium
11.0,1,Low
20.0,3,Low
16.0,2,Low
22.0,5,Medium
14.0,1,Low
15.0,1,Low
15.0,1,Low
23.0,5,Medium
14.0,1,Low
17.0,2,Low
15.0,1,Low
20.0,4,Low
30.0,8,High
13.0,1,Low
20.0,3,Low
15.0,1,Low
18.0,3,Low
27.0,7,Medium
28.0,7,Medium
14.0,1,Low
25.0,6,Medium
13.0,1,Low
28.0,8,High
11.0,1,Low
11.0,1,Low
17.0,2,Low
13.0,1,Low
26.0,7,Medium
13.0,1,Low
12.0,1,Low
22.0,5,Medium
13.0,1,Low
20.0,3,Low
22.0,5,Medium
12.0,1,Low
14.0,1,Low
11.0,1,Low
21.0,4,Low
19.0,3,Low
11.0,1,Low
14.0,1,Low
14.0,1,Low
18.0,3,Low
17.0,2,Low
20.0,3,Low
34.0,10,High
30.0,9,High
21.0,4,Low
19.0,3,Low
11.0,1,Low
27.0,7,Medium
25.0,6,Medium
23.0,5,Medium
14.0,1,Low
13.0,1,Low
14.0,1,Low
16.0,2,Low
15.0,1,Low
19.0,3,Low
16.0,2,Low
13.0,1,Low
20.0,3,Low
18.0,3,Low
17.0,2,Low
23.0,5,Medium
17.0,2,Low
17.0,2,Low
31.0,9,High
15.0,1,Low
20.0,3,Low
14.0,1,Low
17.0,2,Low
12.0,1,Low
18.0,3,Low
15.0,1,Low
14.0,1,Low
25.0,6,Medium
13.0,1,Low
20.0,3,Low
20.0,4,Low
23.0,5,Medium
14.0,1,Low
20.0,3,Low
14.0,1,Low
13.0,1,Low
13.0,1,Low
16.0,2,Low
22.0,5,Medium
21.0,4,Low
18.0,3,Low
21.0,4,Low
15.0,1,Low
11.0,1,Low
13.0,1,Low
18.0,3,Low
24.0,6,Medium
15.0,1,Low
17.0,2,Low
22.0,5,Medium
14.0,1,Low
20.0,3,Low
12.0,1,Low
11.0,1,Low
21.0,4,Low
16.0,2,Low
27.0,7,Medium
21.0,4,Low
21.0,4,Low
21.0,4,Low
14.0,1,Low
31.0,9,High
31.0,9,High
26.0,7,Medium
13.0,1,Low
11.0,1,Low
14.0,1,Low
15.0,1,Low
14.0,1,Low
14.0,1,Low
15.0,1,Low
26.0,7,Medium
15.0,1,Low
18.0,3,Low
18.0,3,Low
23.0,5,Medium
25.0,6,Medium
13.0,1,Low
19.0,3,Low
27.0,7,Medium
11.0,1,Low
20.0,3,Low
20.0,3,Low
21.0,4,Low
15.0,1,Low
11.0,1,Low
19.0,3,Low
25.0,6,Medium
13.0,1,Low
21.0,4,Low
14.0,1,Low
20.0,4,Low
13.0,1,Low
13.0,1,Low
15.0,1,Low
33.0,9,High
19.0,3,Low
12.0,1,Low
21.0,4,Low
19.0,3,Low
26.0,7,Medium
24.0,6,Medium
20.0,3,Low
16.0,2,Low
16.0,2,Low
18.0,3,Low
13.0,1,Low
13.0,1,Low
25.0,6,Medium
27.0,7,Medium
13.0,1,Low
14.0,1,Low
21.0,4,Low
23.0,5,Medium
11.0,1,Low
14.0,1,Low
12.0,1,Low
16.0,2,Low
28.0,8,High
22.0,5,Medium
14.0,1,Low
18.0,3,Low
16.0,2,Low
12.0,1,Low
20.0,4,Low
41.0,10,High
14.0,1,Low
12.0,1,Low
15.0,1,Low
28.0,8,High
32.0,9,High
17.0,2,Low
22.0,5,Medium
26.0,7,Medium
19.0,3,Low
26.0,7,Medium
14.0,1,Low
33.0,9,High
26.0,7,Medium
22.0,5,Medium
21.0,4,Low
11.0,1,Low
14.0,1,Low
19.0,3,Low
11.0,1,Low
16.0,2,Low
16.0,2,Low
14.0,1,Low
13.0,1,Low
14.0,1,Low
30.0,9,High
20.0,4,Low
20.0,3,Low
17.0,2,Low
11.0,1,Low
12.0,1,Low
16.0,2,Low
13.0,1,Low
25.0,6,Medium
14.0,1,Low
15.0,1,Low
17.0,2,Low
19.0,3,Low
22.0,5,Medium
20.0,3,Low
11.0,1,Low
11.0,1,Low
16.0,2,Low
32.0,9,High
16.0,2,Low
15.0,1,Low
17.0,2,Low
27.0,7,Medium
13.0,1,Low
14.0,1,Low
14.0,1,Low
16.0,2,Low
13.0,1,Low
16.0,2,Low
16.0,2,Low
19.0,3,Low
19.0,3,Low
12.0,1,Low
21.0,4,Low
18.0,3,Low
19.0,3,Low
19.0,3,Low
13.0,1,Low
13.0,1,Low
12.0,1,Low
19.0,3,Low
17.0,2,Low
18.0,3,Low
16.0,2,Low
19.0,3,Low
19.0,3,Low
19.0,3,Low
15.0,1,Low
16.0,2,Low
11.0,1,Low
26.0,7,Medium
20.0,3,Low
15.0,1,Low
32.0,9,High
15.0,1,Low
21.0,4,Low
19.0,3,Low
28.0,8,High
14.0,1,Low
25.0,6,Medium
33.0,9,High
22.0,5,Medium
16.0,2,Low
15.0,1,Low
20.0,3,Low
25.0,6,Medium
14.0,1,Low
14.0,1,Low
15.0,1,Low
16.0,2,Low
26.0,7,Medium
16.0,2,Low
17.0,2,Low
14.0,1,Low
21.0,4,Low
25.0,7,Medium
14.0,1,Low
14.0,1,Low
19.0,3,Low
11.0,1,Low
16.0,2,Low
25.0,6,Medium
17.0,2,Low
21.0,4,Low
29.0,8,High
18.0,3,Low
19.0,3,Low
19.0,3,Low
15.0,1,Low
39.0,10,High
17.0,2,Low
17.0,2,Low
30.0,8,High
13.0,1,Low
18.0,3,Low
11.0,1,Low
34.0,10,High
16.0,2,Low
17.0,2,Low
26.0,7,Medium
21.0,4,Low
36.0,10,High
19.0,3,Low
20.0,3,Low
12.0,1,Low
15.0,1,Low
18.0,3,Low
12.0,1,Low
18.0,3,Low
22.0,5,Medium
22.0,5,Medium
13.0,1,Low
13.0,1,Low
33.0,9,High
19.0,3,Low
21.0,4,Low
15.0,1,Low
20.0,3,Low
16.0,2,Low
13.0,1,Low
17.0,2,Low
14.0,1,Low
24.0,5,Medium
22.0,5,Medium
15.0,1,Low
16.0,2,Low
24.0,6,Medium
20.0,3,Low
13.0,1,Low
23.0,6,Medium
13.0,1,Low
19.0,3,Low
16.0,2,Low
22.0,5,Medium
20.0,4,Low
24.0,6,Medium
18.0,3,Low
11.0,1,Low
11.0,1,Low
11.0,1,Low
28.0,8,High
21.0,4,Low
22.0,5,Medium
17.0,2,Low
17.0,2,Low
28.0,8,High
31.0,9,High
12.0,1,Low
19.0,3,Low
11.0,1,Low
11.0,1,Low
20.0,3,Low
15.0,1,Low
14.0,1,Low
17.0,2,Low
14.0,1,Low
18.0,3,Low
16.0,2,Low
18.0,3,Low
13.0,1,Low
13.0,1,Low
23.0,6,Medium
15.0,1,Low
16.0,2,Low
11.0,1,Low
19.0,3,Low
22.0,5,Medium
14.0,1,Low
14.0,1,Low
18.0,3,Low
24.0,6,Medium
15.0,1,Low
15.0,1,Low
14.0,1,Low
22.0,5,Medium
11.0,1,Low
19.0,3,Low
11.0,1,Low
23.0,5,Medium
17.0,2,Low
16.0,2,Low
13.0,1,Low
17.0,2,Low
16.0,2,Low
14.0,1,Low
14.0,1,Low
16.0,2,Low
21.0,4,Low
22.0,5,Medium
27.0,7,Medium
19.0,3,Low
11.0,1,Low
11.0,1,Low
15.0,1,Low
15.0,1,Low
21.0,4,Low
15.0,1,Low
14.0,1,Low
13.0,1,Low
15.0,1,Low
26.0,7,Medium
20.0,3,Low
13.0,1,Low
11.0,1,Low
24.0,6,Medium
16.0,2,Low
13.0,1,Low
16.0,2,Low
27.0,7,Medium
17.0,2,Low
12.0,1,Low
21.0,4,Low
17.0,2,Low
25.0,6,Medium
34.0,10,High
22.0,5,Medium
18.0,3,Low
33.0,9,High
16.0,2,Low
19.0,3,Low
14.0,1,Low
16.0,2,Low
17.0,2,Low
11.0,1,Low
13.0,1,Low
26.0,7,Medium
25.0,6,Medium
17.0,2,Low
16.0,2,Low
16.0,2,Low
13.0,1,Low
21.0,4,Low
14.0,1,Low
20.0,4,Low
24.0,6,Medium
19.0,3,Low
12.0,1,Low
15.0,1,Low
14.0,1,Low
15.0,1,Low
12.0,1,Low
13.0,1,Low
20.0,3,Low
19.0,3,Low
20.0,3,Low
17.0,2,Low
17.0,2,Low
18.0,3,Low
12.0,1,Low
19.0,3,Low
34.0,10,High
15.0,1,Low
18.0,3,Low
11.0,1,Low
15.0,1,Low
19.0,3,Low
19.0,3,Low
19.0,3,Low
17.0,2,Low
11.0,1,Low
13.0,1,Low
29.0,8,High
14.0,1,Low
32.0,9,High
22.0,4,Low
14.0,1,Low
17.0,2,Low
14.0,1,Low
23.0,5,Medium
11.0,1,Low
13.0,1,Low
17.0,2,Low
14.0,1,Low
24.0,6,Medium
25.0,6,Medium
18.0,3,Low
29.0,8,High
23.0,5,Medium
26.0,7,Medium
15.0,1,Low
20.0,3,Low
15.0,1,Low
19.0,3,Low
16.0,2,Low
27.0,7,Medium
13.0,1,Low
15.0,1,Low
14.0,1,Low
16.0,2,Low
22.0,5,Medium
26.0,7,Medium
13.0,1,Low
14.0,1,Low
15.0,1,Low
14.0,1,Low
24.0,6,Medium
24.0,5,Medium
13.0,1,Low
11.0,1,Low
13.0,1,Low
16.0,2,Low
12.0,1,Low
23.0,5,Medium
22.0,5,Medium
18.0,3,Low
24.0,6,Medium
21.0,4,Low
16.0,2,Low
27.0,7,Medium
17.0,2,Low
16.0,2,Low
15.0,1,Low
17.0,2,Low
25.0,7,Medium
11.0,1,Low
15.0,1,Low
16.0,2,Low
18.0,3,Low
11.0,1,Low
14.0,1,Low
12.0,1,Low
22.0,5,Medium
13.0,1,Low
20.0,3,Low
23.0,5,Medium
15.0,1,Low
15.0,1,Low
17.0,2,Low
17.0,2,Low
22.0,5,Medium
14.0,1,Low
14.0,1,Low
27.0,7,Medium
19.0,3,Low
19.0,3,Low
19.0,3,Low
18.0,3,Low
20.0,3,Low
28.0,8,High
16.0,2,Low
14.0,1,Low
16.0,2,Low
15.0,1,Low
11.0,1,Low
21.0,4,Low
25.0,6,Medium
13.0,1,Low
14.0,1,Low
13.0,1,Low
11.0,1,Low
18.0,3,Low
14.0,1,Low
18.0,3,Low
15.0,1,Low
13.0,1,Low
16.0,2,Low
28.0,8,High
16.0,2,Low
17.0,2,Low
16.0,2,Low
19.0,3,Low
24.0,6,Medium
15.0,1,Low
12.0,1,Low
19.0,3,Low
18.0,3,Low
17.0,2,Low
19.0,3,Low
14.0,1,Low
23.0,4,Low
12.0,1,Low
19.0,3,Low
12.0,1,Low
15.0,1,Low
29.0,8,High
19.0,3,Low
18.0,3,Low
22.0,5,Medium
23.0,5,Medium
18.0,3,Low
15.0,1,Low
18.0,3,Low
14.0,1,Low
14.0,1,Low
15.0,1,Low
16.0,2,Low
28.0,8,High
13.0,1,Low
16.0,2,Low
26.0,7,Medium
21.0,4,Low
13.0,1,Low
20.0,3,Low
19.0,3,Low
27.0,8,High
17.0,2,Low
17.0,2,Low
14.0,1,Low
25.0,6,Medium
25.0,6,Medium
15.0,1,Low
17.0,2,Low
16.0,2,Low
16.0,2,Low
14.0,1,Low
29.0,8,High
11.0,1,Low
13.0,1,Low
14.0,1,Low
11.0,1,Low
28.0,8,High
13.0,1,Low
29.0,8,High
11.0,1,Low
24.0,6,Medium
13.0,1,Low
25.0,6,Medium
18.0,3,Low
15.0,1,Low
14.0,1,Low
15.0,1,Low
21.0,4,Low
21.0,3,Low
28.0,8,High
20.0,3,Low
19.0,3,Low
21.0,4,Low
16.0,2,Low
12.0,1,Low
18.0,3,Low
12.0,1,Low
29.0,8,High
15.0,1,Low
22.0,5,Medium
22.0,5,Medium
17.0,2,Low
20.0,4,Low
14.0,1,Low
11.0,1,Low
16.0,2,Low
25.0,6,Medium
16.0,2,Low
12.0,1,Low
14.0,1,Low
20.0,3,Low
21.0,4,Low
14.0,1,Low
21.0,4,Low
18.0,3,Low
14.0,1,Low
15.0,1,Low
24.0,6,Medium
24.0,6,Medium
25.0,6,Medium
35.0,10,High
13.0,1,Low
13.0,1,Low
18.0,3,Low
21.0,4,Low
29.0,8,High
24.0,6,Medium
18.0,3,Low
18.0,3,Low
23.0,6,Medium
13.0,1,Low
29.0,8,High
18.0,3,Low
17.0,2,Low
16.0,2,Low
13.0,1,Low
13.0,1,Low
24.0,6,Medium
12.0,1,Low
14.0,1,Low
11.0,1,Low
14.0,1,Low
17.0,2,Low
25.0,7,Medium
20.0,3,Low
13.0,1,Low
15.0,1,Low
12.0,1,Low
13.0,1,Low
18.0,3,Low
18.0,3,Low
22.0,5,Medium
29.0,8,High
22.0,5,Medium
15.0,1,Low
23.0,5,Medium
19.0,3,Low
18.0,3,Low
25.0,6,Medium
18.0,3,Low
20.0,3,Low
17.0,2,Low
19.0,3,Low
33.0,9,High
20.0,3,Low
13.0,1,Low
31.0,9,High
15.0,1,Low
14.0,1,Low
13.0,1,Low
21.0,4,Low
18.0,3,Low
13.0,1,Low
21.0,4,Low
24.0,6,Medium
30.0,8,High
11.0,1,Low
11.0,1,Low
14.0,1,Low
14.0,1,Low
19.0,3,Low
28.0,8,High
17.0,2,Low
15.0,1,Low
11.0,1,Low
18.0,3,Low
33.0,9,High
16.0,2,Low
19.0,3,Low
11.0,1,Low
12.0,1,Low
14.0,1,Low
18.0,3,Low
26.0,7,Medium
20.0,3,Low
18.0,3,Low
14.0,1,Low
14.0,1,Low
16.0,2,Low
17.0,2,Low
20.0,3,Low
13.0,1,Low
18.0,3,Low
23.0,5,Medium
25.0,6,Medium
15.0,1,Low
21.0,4,Low
19.0,3,Low
14.0,1,Low
13.0,1,Low
17.0,2,Low
14.0,1,Low
11.0,1,Low
16.0,2,Low
19.0,3,Low
20.0,3,Low
15.0,1,Low
15.0,1,Low
11.0,1,Low
20.0,3,Low
25.0,6,Medium
11.0,1,Low
17.0,2,Low
17.0,2,Low
17.0,2,Low
17.0,2,Low
24.0,6,Medium
12.0,1,Low
12.0,1,Low
18.0,3,Low
16.0,2,Low
17.0,2,Low
15.0,1,Low
26.0,7,Medium
22.0,5,Medium
20.0,3,Low
11.0,1,Low
16.0,2,Low
15.0,1,Low
11.0,1,Low
21.0,4,Low
20.0,3,Low
26.0,7,Medium
15.0,1,Low
20.0,3,Low
13.0,1,Low
18.0,3,Low
14.0,1,Low
21.0,4,Low
11.0,1,Low
25.0,6,Medium
22.0,5,Medium
16.0,2,Low
17.0,2,Low
13.0,1,Low
14.0,1,Low
13.0,1,Low
15.0,1,Low
14.0,1,Low
14.0,1,Low
18.0,3,Low
24.0,6,Medium
18.0,3,Low
12.0,1,Low
13.0,1,Low
35.0,10,High
34.0,10,High
21.0,4,Low
22.0,5,Medium
14.0,1,Low
20.0,3,Low
18.0,3,Low
14.0,1,Low
11.0,1,Low
26.0,7,Medium
11.0,1,Low
22.0,5,Medium
19.0,3,Low
17.0,2,Low
13.0,1,Low
21.0,4,Low
16.0,2,Low
11.0,1,Low
22.0,5,Medium
28.0,8,High
13.0,1,Low
16.0,2,Low
16.0,2,Low
15.0,1,Low
17.0,2,Low
18.0,3,Low
13.0,1,Low
12.0,1,Low
17.0,2,Low
12.0,1,Low
14.0,1,Low
13.0,1,Low
11.0,1,Low
19.0,3,Low
14.0,1,Low
12.0,1,Low
13.0,1,Low
20.0,3,Low
16.0,2,Low
11.0,1,Low
22.0,5,Medium
11.0,1,Low
31.0,9,High
14.0,1,Low
16.0,2,Low
13.0,1,Low
15.0,1,Low
28.0,8,High
13.0,1,Low
18.0,3,Low
20.0,3,Low
11.0,1,Low
18.0,3,Low
29.0,8,High
27.0,7,Medium
20.0,3,Low
11.0,1,Low
18.0,3,Low
27.0,8,High
11.0,1,Low
11.0,1,Low
11.0,1,Low
23.0,5,Medium
23.0,5,Medium
15.0,1,Low
18.0,3,Low
13.0,1,Low
14.0,1,Low
20.0,3,Low
15.0,1,Low
12.0,1,Low
14.0,1,Low
18.0,3,Low
14.0,1,Low
37.0,10,High
18.0,3,Low
15.0,1,Low
19.0,3,Low
18.0,3,Low
20.0,3,Low
24.0,6,Medium
17.0,2,Low
13.0,1,Low
11.0,1,Low
11.0,1,Low
33.0,9,High
28.0,8,High
17.0,2,Low
21.0,4,Low
23.0,5,Medium
18.0,3,Low
13.0,1,Low
15.0,1,Low
27.0,7,Medium
18.0,3,Low
13.0,1,Low
14.0,1,Low
30.0,8,High
15.0,1,Low
15.0,1,Low
15.0,1,Low
18.0,2,Low
18.0,2,Low
11.0,1,Low
19.0,3,Low
20.0,3,Low
20.0,3,Low
18.0,3,Low
16.0,2,Low
15.0,1,Low
17.0,2,Low
17.0,2,Low
17.0,2,Low
21.0,4,Low
18.0,3,Low
22.0,5,Medium
21.0,4,Low
13.0,1,Low
18.0,3,Low
27.0,8,High
13.0,1,Low
21.0,4,Low
26.0,7,Medium
14.0,1,Low
18.0,3,Low
20.0,3,Low
15.0,1,Low
20.0,3,Low
13.0,1,Low
19.0,3,Low
26.0,7,Medium
23.0,5,Medium
18.0,3,Low
16.0,2,Low
21.0,4,Low
27.0,8,High
35.0,10,High
19.0,3,Low
19.0,3,Low
35.0,10,High
15.0,1,Low
12.0,1,Low
31.0,9,High
17.0,2,Low
23.0,5,Medium
16.0,2,Low
16.0,2,Low
14.0,1,Low
26.0,7,Medium
20.0,3,Low
17.0,2,Low
14.0,1,Low
32.0,9,High
35.0,9,High
18.0,3,Low
13.0,1,Low
31.0,9,High
18.0,3,Low
28.0,8,High
28.0,8,High
12.0,1,Low
13.0,1,Low
34.0,10,High
18.0,3,Low
15.0,1,Low
17.0,2,Low
18.0,3,Low
15.0,1,Low
15.0,1,Low
12.0,1,Low
22.0,5,Medium
23.0,5,Medium
23.0,5,Medium
23.0,5,Medium
20.0,3,Low
18.0,3,Low
23.0,5,Medium
13.0,1,Low
19.0,3,Low
11.0,1,Low
17.0,2,Low
18.0,3,Low
18.0,3,Low
17.0,2,Low
18.0,3,Low
12.0,1,Low
27.0,7,Medium
11.0,1,Low
11.0,1,Low
19.0,3,Low
16.0,2,Low
14.0,1,Low
11.0,1,Low
14.0,1,Low
14.0,1,Low
13.0,1,Low
19.0,3,Low
23.0,5,Medium
15.0,1,Low
15.0,1,Low
15.0,1,Low
16.0,2,Low
29.0,8,High
15.0,1,Low
16.0,2,Low
14.0,1,Low
17.0,2,Low
14.0,1,Low
19.0,3,Low
23.0,5,Medium
27.0,7,Medium
19.0,3,Low
18.0,3,Low
11.0,1,Low
17.0,2,Low
23.0,5,Medium
21.0,4,Low
20.0,3,Low
13.0,1,Low
13.0,1,Low
19.0,3,Low
23.0,5,Medium
33.0,9,High
18.0,3,Low
13.0,1,Low
15.0,1,Low
18.0,3,Low
23.0,5,Medium
17.0,2,Low
16.0,2,Low
19.0,3,Low
31.0,9,High
12.0,1,Low
24.0,6,Medium
19.0,3,Low
28.0,8,High
14.0,1,Low
13.0,1,Low
14.0,1,Low
22.0,5,Medium
13.0,1,Low
15.0,1,Low
15.0,1,Low
12.0,1,Low
23.0,6,Medium
23.0,6,Medium
21.0,4,Low
17.0,2,Low
14.0,1,Low
20.0,3,Low
19.0,3,Low
15.0,1,Low
11.0,1,Low
17.0,2,Low
19.0,3,Low
23.0,5,Medium
18.0,3,Low
13.0,1,Low
41.0,10,High
16.0,2,Low
26.0,7,Medium
22.0,5,Medium
26.0,7,Medium
12.0,1,Low
16.0,2,Low
25.0,6,Medium
26.0,7,Medium
12.0,1,Low
21.0,4,Low
21.0,4,Low
13.0,1,Low
27.0,7,Medium
15.0,1,Low
15.0,1,Low
19.0,3,Low
16.0,2,Low
26.0,7,Medium
26.0,7,Medium
13.0,1,Low
25.0,6,Medium
23.0,5,Medium
20.0,3,Low
24.0,6,Medium
16.0,2,Low
18.0,3,Low
20.0,3,Low
15.0,1,Low
15.0,1,Low
22.0,5,Medium
16.0,2,Low
24.0,6,Medium
16.0,2,Low
16.0,2,Low
16.0,2,Low
25.0,6,Medium
13.0,1,Low
25.0,6,Medium
20.0,3,Low
16.0,2,Low
22.0,5,Medium
22.0,5,Medium
20.0,4,Low
21.0,4,Low
28.0,8,High
29.0,8,High
21.0,4,Low
26.0,7,Medium
17.0,2,Low
23.0,6,Medium
28.0,8,High
23.0,5,Medium
27.0,7,Medium
33.0,9,High
18.0,3,Low
23.0,5,Medium
12.0,1,Low
13.0,1,Low
13.0,1,Low
24.0,6,Medium
21.0,3,Low
22.0,5,Medium
16.0,2,Low
21.0,4,Low
21.0,4,Low
21.0,4,Low
18.0,3,Low
13.0,1,Low
18.0,3,Low
18.0,3,Low
14.0,1,Low
26.0,7,Medium
14.0,1,Low
18.0,3,Low
18.0,3,Low
18.0,3,Low
13.0,1,Low
14.0,1,Low
19.0,3,Low
19.0,3,Low
15.0,1,Low
24.0,6,Medium
20.0,3,Low
20.0,3,Low
29.0,8,High
14.0,1,Low
21.0,4,Low
21.0,4,Low
17.0,2,Low
26.0,7,Medium
11.0,1,Low
12.0,1,Low
18.0,3,Low
13.0,1,Low
13.0,1,Low
23.0,5,Medium
25.0,6,Medium
30.0,8,High
28.0,8,High
21.0,4,Low
17.0,2,Low
26.0,7,Medium
26.0,7,Medium
13.0,1,Low
15.0,1,Low
13.0,1,Low
17.0,2,Low
14.0,1,Low
15.0,1,Low
13.0,1,Low
12.0,1,Low
17.0,2,Low
12.0,1,Low
14.0,1,Low
17.0,2,Low
11.0,1,Low
21.0,4,Low
16.0,2,Low
14.0,1,Low
13.0,1,Low
15.0,1,Low
23.0,5,Medium
13.0,1,Low
22.0,5,Medium
18.0,3,Low
13.0,1,Low
27.0,7,Medium
14.0,1,Low
24.0,6,Medium
20.0,3,Low
13.0,1,Low
13.0,1,Low
31.0,9,High
27.0,7,Medium
14.0,1,Low
22.0,5,Medium
16.0,2,Low
36.0,10,High
16.0,2,Low
22.0,5,Medium
22.0,5,Medium
23.0,6,Medium
20.0,3,Low
24.0,6,Medium
24.0,6,Medium
30.0,8,High
16.0,2,Low
13.0,1,Low
15.0,1,Low
12.0,1,Low
24.0,6,Medium
15.0,1,Low
15.0,1,Low
21.0,4,Low
23.0,5,Medium
32.0,9,High
18.0,3,Low
19.0,3,Low
28.0,8,High
28.0,8,High
14.0,1,Low
13.0,1,Low
13.0,1,Low
21.0,4,Low
11.0,1,Low
17.0,2,Low
24.0,6,Medium
14.0,1,Low
24.0,6,Medium
21.0,4,Low
20.0,3,Low
24.0,6,Medium
16.0,2,Low
12.0,1,Low
28.0,8,High
15.0,1,Low
17.0,2,Low
16.0,2,Low
11.0,1,Low
11.0,1,Low
22.0,5,Medium
17.0,2,Low
16.0,2,Low
13.0,1,Low
16.0,2,Low
26.0,7,Medium
15.0,1,Low
16.0,2,Low
16.0,2,Low
37.0,10,High
19.0,3,Low
14.0,1,Low
20.0,3,Low
19.0,3,Low
13.0,1,Low
15.0,1,Low
11.0,1,Low
14.0,1,Low
27.0,7,Medium
17.0,2,Low
15.0,1,Low
17.0,2,Low
28.0,8,High
11.0,1,Low
13.0,1,Low
20.0,4,Low
19.0,3,Low
23.0,5,Medium
11.0,1,Low
16.0,2,Low
28.0,8,High
18.0,3,Low
23.0,6,Medium
13.0,1,Low
16.0,2,Low
11.0,1,Low
13.0,1,Low
19.0,3,Low
16.0,2,Low
15.0,1,Low
18.0,3,Low
15.0,1,Low
18.0,3,Low
11.0,1,Low
19.0,3,Low
14.0,1,Low
15.0,1,Low
11.0,1,Low
12.0,1,Low
14.0,1,Low
23.0,5,Medium
29.0,8,High
14.0,1,Low
14.0,1,Low
11.0,1,Low
22.0,5,Medium
15.0,1,Low
15.0,1,Low
17.0,2,Low
11.0,1,Low
31.0,9,High
18.0,3,Low
17.0,2,Low
23.0,5,Medium
11.0,1,Low
